ano,mes,dia,hora,angulo,intensidade,uwind,vwind
2022,01,05,3,183.0,0.7,0.0366,0.699
2022,01,05,4,126.0,1.0,-0.809,0.5878
2022,01,05,5,114.0,0.9,-0.8222,0.3661
2022,01,05,6,133.0,0.9,-0.6582,0.6138
2022,01,05,7,133.0,0.8,-0.5851,0.5456
2022,01,05,8,152.0,1.4,-0.6573,1.2361
2022,01,05,9,19.0,0.6,-0.1953,-0.5673
2022,01,05,10,30.0,1.6,-0.8,-1.3856
2022,01,05,11,13.0,1.9,-0.4274,-1.8513
2022,01,05,12,10.0,2.5,-0.4341,-2.462
2022,01,05,13,357.0,1.8,0.0942,-1.7975
2022,01,05,14,9.0,1.7,-0.2659,-1.6791
2022,01,05,15,4.0,1.8,-0.1256,-1.7956
2022,01,05,16,339.0,1.2,0.43,-1.1203
2022,01,05,17,301.0,1.2,1.0286,-0.618
2022,01,05,18,341.0,1.3,0.4232,-1.2292
2022,01,05,19,307.0,0.9,0.7188,-0.5416
2022,01,05,20,258.0,1.3,1.2716,0.2703
2022,01,05,21,318.0,1.2,0.803,-0.8918
2022,01,05,22,203.0,2.1,0.8205,1.9331
2022,01,05,23,181.0,0.7,0.0122,0.6999
2022,01,06,0,126.0,1.5,-1.2135,0.8817
2022,01,06,1,148.0,0.6,-0.318,0.5088
2022,01,06,2,311.0,0.5,0.3774,-0.328
2022,01,06,3,312.0,0.4,0.2973,-0.2677
2022,01,06,4,333.0,0.6,0.2724,-0.5346
2022,01,06,5,263.0,0.5,0.4963,0.0609
2022,01,06,6,338.0,0.3,0.1124,-0.2782
2022,01,06,7,86.0,0.6,-0.5985,-0.0419
2022,01,06,8,334.0,0.5,0.2192,-0.4494
2022,01,06,9,292.0,0.3,0.2782,-0.1124
2022,01,06,10,16.0,0.8,-0.2205,-0.769
2022,01,06,11,323.0,0.9,0.5416,-0.7188
2022,01,06,12,339.0,0.6,0.215,-0.5601
2022,01,06,13,358.0,1.1,0.0384,-1.0993
2022,01,06,14,332.0,1.4,0.6573,-1.2361
2022,01,06,15,294.0,1.3,1.1876,-0.5288
2022,01,06,16,350.0,0.8,0.1389,-0.7878
2022,01,06,17,305.0,0.7,0.5734,-0.4015
2022,01,06,18,218.0,2.5,1.5392,1.97
2022,01,06,19,187.0,3.5,0.4265,3.4739
2022,01,06,20,192.0,4.1,0.8524,4.0104
2022,01,06,21,192.0,3.2,0.6653,3.1301
2022,01,06,22,199.0,3.1,1.0093,2.9311
2022,01,06,23,163.0,0.5,-0.1462,0.4782
2022,01,07,0,123.0,0.9,-0.7548,0.4902
2022,01,07,1,127.0,0.9,-0.7188,0.5416
2022,01,07,2,355.0,0.6,0.0523,-0.5977
2022,01,07,3,301.0,0.9,0.7715,-0.4635
2022,01,07,4,293.0,0.6,0.5523,-0.2344
2022,01,07,5,306.0,0.4,0.3236,-0.2351
2022,01,07,6,331.0,0.5,0.2424,-0.4373
2022,01,07,7,305.0,0.7,0.5734,-0.4015
2022,01,07,8,274.0,0.8,0.7981,-0.0558
2022,01,07,9,269.0,0.7,0.6999,0.0122
2022,01,07,10,268.0,0.8,0.7995,0.0279
2022,01,07,11,228.0,1.4,1.0404,0.9368
2022,01,07,12,202.0,2.6,0.974,2.4107
2022,01,07,13,246.0,1.1,1.0049,0.4474
2022,01,07,14,209.0,2.7,1.309,2.3615
