ano,mes,dia,hora,angulo,intensidade,uwind,vwind
2022,01,06,22,210,6.173328,3.0867,5.3463
2022,01,06,23,070,2.57222,-2.4171,-0.8798
2022,01,07,00,120,1.543332,-1.3366,0.7717
2022,01,07,01,130,1.543332,-1.1823,0.992
2022,01,07,02,000,0.0,-0.0,-0.0
2022,01,07,09,060,1.543332,-1.3366,-0.7717
2022,01,07,10,nan,,,
2022,01,07,11,230,3.086664,2.3645,1.9841
2022,01,07,12,190,5.14444,0.8933,5.0663
2022,01,07,13,071,15.43332,-14.5925,-5.0246
2022,01,07,14,200,4.629996,1.5836,4.3508
2022,01,07,15,210,6.173328,3.0867,5.3463
2022,01,07,16,310,5.6588840000000005,4.335,-3.6375
2022,01,07,17,210,5.6588840000000005,2.8294,4.9007
2022,01,07,18,200,5.14444,1.7595,4.8342
2022,01,07,19,190,5.14444,0.8933,5.0663
2022,01,07,20,200,7.202216,2.4633,6.7679
2022,01,07,21,190,5.14444,0.8933,5.0663
2022,01,07,22,180,5.14444,0.0,5.1444
2022,01,07,23,180,5.14444,0.0,5.1444
2022,01,08,00,150,3.601108,-1.8006,3.1187
2022,01,08,01,160,4.115552,-1.4076,3.8674
2022,01,08,02,160,3.086664,-1.0557,2.9005
2022,01,08,09,170,4.629996,-0.804,4.5597
2022,01,08,10,160,3.601108,-1.2317,3.3839
2022,01,08,11,150,3.086664,-1.5433,2.6731
2022,01,08,12,150,4.115552,-2.0578,3.5642
2022,01,08,13,150,4.629996,-2.315,4.0097
2022,01,08,14,160,3.601108,-1.2317,3.3839
2022,01,08,15,160,4.115552,-1.4076,3.8674
2022,01,08,16,160,4.629996,-1.5836,4.3508
2022,01,08,17,150,4.629996,-2.315,4.0097
2022,01,08,18,150,5.14444,-2.5722,4.4552
2022,01,08,19,160,6.687772,-2.2874,6.2844
2022,01,08,20,140,6.173328,-3.9681,4.729
2022,01,08,21,150,5.14444,-2.5722,4.4552
2022,01,08,22,140,5.6588840000000005,-3.6375,4.335
2022,01,08,23,130,5.14444,-3.9409,3.3068
2022,01,09,00,140,4.629996,-2.9761,3.5468
2022,01,09,01,100,1.028888,-1.0133,0.1787
2022,01,09,02,200,2.057776,0.7038,1.9337
2022,01,09,09,000,0.0,-0.0,-0.0
2022,01,09,10,170,2.057776,-0.3573,2.0265
2022,01,09,11,nan,,,
2022,01,09,12,nan,,,
2022,01,09,13,nan,,,
2022,01,09,14,360,1.543332,-0.0,-1.5433
2022,01,09,15,150,3.086664,-1.5433,2.6731
2022,01,09,16,140,3.086664,-1.9841,2.3645
2022,01,09,17,140,4.115552,-2.6454,3.1527
2022,01,09,18,040,4.115552,-2.6454,-3.1527
2022,01,09,19,060,3.086664,-2.6731,-1.5433
2022,01,09,20,170,2.57222,-0.4467,2.5331
2022,01,09,21,150,3.086664,-1.5433,2.6731
2022,01,09,22,150,3.601108,-1.8006,3.1187
2022,01,09,23,180,4.115552,0.0,4.1156
2022,01,10,00,160,3.086664,-1.0557,2.9005
2022,01,10,01,160,3.086664,-1.0557,2.9005
2022,01,10,02,170,2.057776,-0.3573,2.0265
2022,01,10,09,180,1.543332,0.0,1.5433
2022,01,10,10,170,2.057776,-0.3573,2.0265
2022,01,10,11,nan,,,
2022,01,10,12,100,1.028888,-1.0133,0.1787
2022,01,10,13,360,2.057776,-0.0,-2.0578
2022,01,10,14,360,2.057776,-0.0,-2.0578
2022,01,10,15,110,2.057776,-1.9337,0.7038
2022,01,10,16,130,2.57222,-1.9704,1.6534
2022,01,10,17,150,3.601108,-1.8006,3.1187
2022,01,10,18,180,5.14444,0.0,5.1444
2022,01,10,19,180,5.6588840000000005,0.0,5.6589
2022,01,10,20,170,5.14444,-0.8933,5.0663
2022,01,10,21,180,5.14444,0.0,5.1444
2022,01,10,22,170,4.629996,-0.804,4.5597
2022,01,10,23,180,4.629996,0.0,4.63
2022,01,11,00,210,3.086664,1.5433,2.6731
2022,01,11,01,340,4.115552,1.4076,-3.8674
2022,01,11,02,350,3.086664,0.536,-3.0398
2022,01,11,09,140,0.514444,-0.3307,0.3941
2022,01,11,10,180,1.543332,0.0,1.5433
2022,01,11,11,140,3.086664,-1.9841,2.3645
2022,01,11,12,140,2.57222,-1.6534,1.9704
2022,01,11,13,170,3.086664,-0.536,3.0398
2022,01,11,14,160,4.629996,-1.5836,4.3508
2022,01,11,15,160,5.6588840000000005,-1.9355,5.3176
2022,01,11,16,160,6.173328,-2.1114,5.801
2022,01,11,17,160,6.687772,-2.2874,6.2844
2022,01,11,18,111,41.15552,-38.422,14.7488
2022,01,11,19,111,46.29996,-43.2247,16.5924
2022,01,11,20,210,3.601108,1.8006,3.1187
2022,01,11,21,170,4.115552,-0.7147,4.053
2022,01,11,22,160,4.115552,-1.4076,3.8674
2022,01,11,23,160,2.57222,-0.8798,2.4171
2022,01,12,00,190,1.543332,0.268,1.5199
2022,01,12,01,170,2.057776,-0.3573,2.0265
2022,01,12,02,190,2.057776,0.3573,2.0265
2022,01,12,09,010,3.086664,-0.536,-3.0398
2022,01,12,10,330,2.057776,1.0289,-1.7821
2022,01,12,11,130,2.057776,-1.5763,1.3227
2022,01,12,12,140,5.14444,-3.3068,3.9409
2022,01,12,13,180,6.687772,0.0,6.6878
2022,01,12,14,180,6.173328,0.0,6.1733
2022,01,12,15,170,6.173328,-1.072,6.0795
2022,01,12,16,170,7.71666,-1.34,7.5994
2022,01,12,17,170,7.71666,-1.34,7.5994
2022,01,12,18,160,6.687772,-2.2874,6.2844
2022,01,12,19,160,6.687772,-2.2874,6.2844
2022,01,12,20,170,5.6588840000000005,-0.9827,5.5729
2022,01,12,21,170,4.629996,-0.804,4.5597
