ano,mes,dia,hora,angulo,intensidade,uwind,vwind
2022,01,05,07,360,4.629996,-0.0,-4.63
2022,01,05,08,010,4.115552,-0.7147,-4.053
2022,01,05,09,360,5.14444,-0.0,-5.1444
2022,01,05,10,020,5.6588840000000005,-1.9355,-5.3176
2022,01,05,11,010,5.14444,-0.8933,-5.0663
2022,01,05,12,010,6.173328,-1.072,-6.0795
2022,01,05,13,350,4.115552,0.7147,-4.053
2022,01,05,14,350,5.14444,0.8933,-5.0663
2022,01,05,15,030,2.57222,-1.2861,-2.2276
2022,01,05,16,030,2.57222,-1.2861,-2.2276
2022,01,05,17,350,2.057776,0.3573,-2.0265
2022,01,05,18,040,2.057776,-1.3227,-1.5763
2022,01,05,19,350,4.115552,0.7147,-4.053
2022,01,05,20,350,5.14444,0.8933,-5.0663
2022,01,05,21,250,7.202216,6.7679,2.4633
2022,01,05,22,220,3.086664,1.9841,2.3645
2022,01,05,23,230,3.086664,2.3645,1.9841
2022,01,06,00,220,2.057776,1.3227,1.5763
2022,01,06,01,110,3.601108,-3.3839,1.2317
2022,01,06,02,090,3.086664,-3.0867,-0.0
2022,01,06,03,100,1.543332,-1.5199,0.268
2022,01,06,04,120,1.543332,-1.3366,0.7717
2022,01,06,05,140,1.543332,-0.992,1.1823
2022,01,06,06,140,1.028888,-0.6614,0.7882
2022,01,06,07,030,1.028888,-0.5144,-0.891
2022,01,06,08,020,1.028888,-0.3519,-0.9668
2022,01,06,09,nan,,,
2022,01,06,10,030,1.028888,-0.5144,-0.891
2022,01,06,11,350,1.028888,0.1787,-1.0133
2022,01,06,12,100,1.028888,-1.0133,0.1787
2022,01,06,13,310,1.543332,1.1823,-0.992
2022,01,06,14,050,2.057776,-1.5763,-1.3227
2022,01,06,15,360,1.543332,-0.0,-1.5433
2022,01,06,16,320,3.601108,2.3147,-2.7586
2022,01,06,17,330,4.629996,2.315,-4.0097
2022,01,06,18,340,3.086664,1.0557,-2.9005
2022,01,06,19,150,5.14444,-2.5722,4.4552
2022,01,06,20,210,5.6588840000000005,2.8294,4.9007
2022,01,06,21,220,5.6588840000000005,3.6375,4.335
2022,01,06,22,250,4.115552,3.8674,1.4076
2022,01,06,23,250,2.57222,2.4171,0.8798
2022,01,07,00,260,3.086664,3.0398,0.536
2022,01,07,01,270,2.057776,2.0578,-0.0
2022,01,07,02,270,4.629996,4.63,-0.0
2022,01,07,03,260,2.57222,2.5331,0.4467
2022,01,07,04,070,20.57776,-19.3368,-7.038
2022,01,07,05,260,2.057776,2.0265,0.3573
2022,01,07,06,280,3.086664,3.0398,-0.536
2022,01,07,07,280,3.601108,3.5464,-0.6253
2022,01,07,08,280,2.57222,2.5331,-0.4467
2022,01,07,09,280,2.57222,2.5331,-0.4467
2022,01,07,10,290,2.57222,2.4171,-0.8798
2022,01,07,11,250,3.601108,3.3839,1.2317
2022,01,07,12,240,4.629996,4.0097,2.315
2022,01,07,13,240,5.14444,4.4552,2.5722
2022,01,07,14,230,6.173328,4.729,3.9681
2022,01,07,15,240,4.115552,3.5642,2.0578
2022,01,07,16,230,4.115552,3.1527,2.6454
2022,01,07,17,220,5.14444,3.3068,3.9409
2022,01,07,18,220,4.115552,2.6454,3.1527
2022,01,07,19,220,4.115552,2.6454,3.1527
2022,01,07,20,190,1.543332,0.268,1.5199
2022,01,07,21,nan,,,
2022,01,07,22,nan,,,
2022,01,07,23,130,2.057776,-1.5763,1.3227
2022,01,08,00,050,1.028888,-0.7882,-0.6614
2022,01,08,01,120,2.057776,-1.7821,1.0289
2022,01,08,02,140,2.057776,-1.3227,1.5763
2022,01,08,03,130,2.057776,-1.5763,1.3227
2022,01,08,04,150,2.57222,-1.2861,2.2276
2022,01,08,05,170,2.57222,-0.4467,2.5331
2022,01,08,06,190,2.57222,0.4467,2.5331
2022,01,08,07,080,36.01108,-35.464,-6.2533
2022,01,08,08,110,1.543332,-1.4503,0.5279
2022,01,08,09,160,0.514444,-0.176,0.4834
2022,01,08,10,290,0.514444,0.4834,-0.176
2022,01,08,11,180,2.057776,0.0,2.0578
2022,01,08,12,140,4.115552,-2.6454,3.1527
2022,01,08,13,140,3.601108,-2.3147,2.7586
2022,01,08,14,140,4.629996,-2.9761,3.5468
2022,01,08,15,140,5.14444,-3.3068,3.9409
2022,01,08,16,140,5.14444,-3.3068,3.9409
2022,01,08,17,150,4.115552,-2.0578,3.5642
2022,01,08,18,150,4.115552,-2.0578,3.5642
2022,01,08,19,150,4.629996,-2.315,4.0097
2022,01,08,20,130,4.115552,-3.1527,2.6454
2022,01,08,21,160,4.629996,-1.5836,4.3508
2022,01,08,22,110,4.629996,-4.3508,1.5836
2022,01,08,23,100,2.57222,-2.5331,0.4467
2022,01,09,00,100,1.543332,-1.5199,0.268
2022,01,09,01,090,1.543332,-1.5433,-0.0
2022,01,09,02,220,0.514444,0.3307,0.3941
