uwind_sbgl,vwind_sbgl,uwind_sbrj,vwind_sbrj,uwind_niteroi,vwind_niteroi
-1.25,-0.29,-2.4299998,-0.65,-1.92,-0.29
-0.97999996,-0.47,-2.05,-0.91999996,-1.56,-0.55
-0.78999996,-0.53,-1.68,-1.0,-1.3199999,-0.65
-0.74,-0.55,-1.51,-0.96,-1.1899999,-0.65
-0.76,-0.56,-1.51,-0.89,-1.23,-0.71999997
-0.52,-0.48,-1.24,-0.74,-0.90999997,-0.58
-0.57,-0.39,-1.3,-0.61,-0.85999995,-0.41
-0.61,-0.35999998,-1.39,-0.5,-0.90999997,-0.35999998
-0.38,-0.26999998,-1.06,-0.35999998,-0.69,-0.29
-0.41,-0.28,-1.04,-0.32,-0.61,-0.26
-0.31,-0.31,-0.84999996,-0.32,-0.53999996,-0.26
-0.90999997,-0.45,-1.7199999,-0.5,-1.11,-0.39999998
-1.0799999,-1.01,-1.9499999,-0.95,-1.26,-0.85999995
-0.97999996,-1.5699999,-1.77,-1.53,-1.14,-1.29
-0.58,-2.9199998,-1.22,-2.85,-0.78999996,-2.23
0.01,-3.6499999,-0.48,-3.6399999,-0.31,-2.97
0.65,-4.1,0.21,-4.02,0.38,-3.47
0.71999997,-4.13,0.35999998,-4.2,0.68,-3.55
0.049999997,-3.32,-0.32999998,-3.61,0.21,-2.9199998
0.17999999,-2.11,-0.099999994,-2.29,-0.17,-1.6999999
0.35999998,-0.58,0.32,-0.44,-0.26,-0.25
-0.57,0.90999997,-0.58,1.48,-0.76,0.91999996
-0.48,1.4599999,-0.61,1.9599999,-0.52,1.38
-0.72999996,-0.089999996,-1.05,0.0,-0.85999995,-0.049999997
-0.32999998,-0.16,-0.56,-0.13,-0.42,-0.21
-0.29,-0.08,-0.65,-0.03,-0.39,-0.14999999
-0.56,0.0,-1.0699999,0.099999994,-0.55,-0.02
-0.83,0.07,-1.42,0.32,-1.17,0.06
-0.84,0.089999996,-1.56,0.34,-1.3399999,0.07
-0.74,-0.08,-1.48,0.02,-0.87,-0.089999996
-0.65,-0.35,-1.3199999,-0.35999998,-0.75,-0.32
-0.42,-0.45999998,-1.05,-0.45999998,-0.59999996,-0.42
-0.39999998,-0.64,-1.06,-0.66999996,-0.58,-0.59999996
-0.35,-0.72999996,-0.96999997,-0.72999996,-0.53999996,-0.71999997
-0.37,-0.83,-0.96,-0.84,-0.52,-0.81
-0.62,-0.77,-1.2099999,-0.84,-1.03,-0.87
-0.91999996,-0.47,-1.52,-0.47,-1.24,-0.57
-0.75,-0.08,-1.25,0.0,-1.1,-0.19
-0.58,0.0,-1.04,0.19999999,-0.91999996,-0.01
-0.28,0.45999998,-0.58,0.88,-0.55,0.39
0.099999994,0.75,-0.16,1.29,-0.07,0.68
-0.21,0.84999996,-0.5,1.3199999,-0.22,0.88
-0.83,0.84999996,-1.15,1.27,-0.81,0.96999997
-1.1999999,0.84,-1.64,1.3399999,-1.18,0.84999996
-1.23,1.36,-1.8499999,1.76,-1.22,1.06
-1.5999999,1.35,-2.57,1.89,-1.5799999,1.0799999
-1.68,0.07,-2.51,0.42999998,-1.4699999,-0.08
0.95,0.19,0.88,0.06,0.96,-0.01
0.71,-0.22999999,0.65999997,-0.39999998,0.74,-0.29
0.77,-0.11,1.13,-0.04,0.82,-0.35999998
0.53999996,0.12,1.05,0.22,0.68,-0.17999999
0.53,0.07,1.06,0.17999999,0.62,-0.24
0.95,0.03,1.48,0.06,1.1,-0.19
0.82,0.14,1.37,0.14,1.1,0.03
0.78999996,0.25,1.3299999,0.34,1.06,0.22
0.71999997,0.29,1.1999999,0.35999998,1.01,0.32999998
0.76,0.17999999,1.14,0.22,1.02,0.32999998
0.9,0.22999999,1.25,0.22999999,1.03,0.35
1.03,0.22999999,1.28,0.29,1.09,0.42999998
1.41,-0.45999998,2.06,0.089999996,1.5699999,-0.52
2.0,-0.44,2.59,0.19999999,2.1699998,-0.51
2.53,-0.12,3.1299999,0.75,2.75,-0.22
2.86,0.78,3.1999998,1.6999999,3.0,0.45
3.03,1.51,3.3799999,2.09,3.24,1.14
3.3,2.24,3.73,2.9399998,3.4399998,2.1
2.82,1.81,3.3899999,2.58,3.09,1.8399999
2.98,2.37,3.51,3.33,3.1899998,2.28
2.77,2.74,3.21,3.6699998,2.81,2.77
2.31,2.77,2.73,3.6899998,2.5,2.6599998
1.91,2.52,2.33,3.58,2.09,2.48
1.62,2.6599998,1.89,3.61,1.6899999,2.49
1.54,2.48,1.79,3.54,1.65,2.26
1.14,1.8299999,1.1899999,2.73,1.22,1.61
0.82,1.7199999,0.55,2.49,0.90999997,1.61
0.45,1.36,-0.01,1.99,0.51,1.42
0.37,1.3299999,-0.22999999,1.88,0.25,1.4599999
0.12,1.4,-0.53999996,1.87,-0.02,1.5
-0.22999999,1.3399999,-0.82,1.68,-0.29,1.43
-0.47,1.16,-0.9,1.4599999,-0.52,1.31
-0.59,1.0,-1.01,1.4,-0.63,1.11
-0.90999997,1.41,-1.39,1.8499999,-0.83,1.42
-0.5,0.79999995,-0.88,1.09,-0.56,1.03
-0.22999999,0.62,-0.62,0.82,-0.42999998,0.89
0.11,0.45,-0.21,0.72999996,0.17999999,0.58
-0.07,1.16,-0.42999998,1.5799999,0.11,1.09
0.26999998,1.4399999,0.0,1.9,0.29,1.35
0.39,1.5699999,0.06,2.1499999,0.34,1.52
0.16,1.91,-0.26999998,2.5,0.28,1.91
-0.63,2.31,-1.11,2.95,-0.44,2.3
-1.1,2.58,-1.68,3.27,-1.01,2.44
-1.63,2.51,-2.37,3.33,-1.77,2.32
-1.9399999,2.46,-2.82,3.12,-1.9599999,2.35
-2.19,2.29,-3.0,3.0,-2.1399999,2.23
-2.3,2.21,-3.1599998,2.97,-2.23,2.04
-2.1299999,1.74,-3.02,2.32,-2.05,1.63
-1.38,1.0799999,-2.1,1.38,-1.5,1.04
-1.3299999,1.02,-1.99,1.28,-1.42,0.96999997
-0.83,0.52,-1.51,0.82,-0.97999996,0.48999998
-0.84,0.14,-1.5799999,0.32999998,-0.94,0.07
-0.5,0.21,-1.2099999,0.53999996,-0.74,0.12
-0.14999999,0.19,-0.85999995,0.57,-0.47,0.17999999
-0.28,0.81,-0.98999995,1.23,-0.48,0.64
-0.22,0.85999995,-0.87,1.14,-0.45,0.79999995
-0.13,0.48999998,-0.72999996,0.66999996,-0.34,0.58
-0.61,0.71,-1.26,0.9,-0.55,0.59
-0.21,0.29999998,-0.75,0.42999998,-0.38,0.32999998
-0.17,0.19,-0.65999997,0.32,-0.28,0.24
0.0,0.03,-0.35999998,-0.14999999,-0.41,0.0
-0.77,0.17,-1.15,-0.089999996,-0.87,0.17
-1.5899999,0.65,-2.07,0.57,-1.5899999,0.63
-2.0,1.38,-2.47,1.51,-1.9499999,1.3399999
-1.68,1.4699999,-1.92,1.53,-1.7199999,1.4399999
-1.1999999,1.56,-1.4499999,1.68,-1.36,1.56
-1.22,1.54,-1.41,1.74,-1.39,1.55
-1.1999999,1.7099999,-1.3199999,2.1,-1.3399999,1.66
-1.0699999,2.32,-0.95,2.9099998,-1.12,2.07
-0.72999996,2.3999999,-0.39,3.1899998,-0.77,2.1699998
0.11,2.55,0.74,3.1899998,-0.14999999,2.35
0.5,1.87,1.2099999,2.28,0.32999998,1.75
-0.71999997,1.22,-0.77,1.13,-0.62,1.0
-0.28,0.35999998,-0.22999999,0.08,-0.21,0.17
-0.02,0.32,0.13,0.13,0.02,0.19
0.29,0.26999998,0.53999996,0.11,0.39999998,0.14
0.63,0.26999998,0.90999997,0.14999999,0.78,0.22
0.39999998,0.41,0.81,0.42999998,0.59999996,0.39
0.17999999,0.32999998,0.48999998,0.38,0.53,0.48999998
0.42999998,0.11,0.48999998,0.32999998,0.35999998,0.35999998
0.16,0.22,0.34,0.08,0.31,0.32999998
